"Time (s)","X (hPa)"
-5.473205835E-1,9.747192383E2
4.649674166E-1,9.747158813E2
1.477090417E0,9.747140503E2
2.489129417E0,9.747140503E2
3.501313417E0,9.747193146E2
4.513466417E0,9.747306824E2
4.680580417E0,9.747364807E2
5.617819417E0,9.747396088E2
6.554984417E0,9.747447968E2
7.492273417E0,9.747511292E2
8.429535417E0,9.747511292E2
9.366863417E0,9.747502136E2
1.030407542E1,9.747489166E2
1.124140542E1,9.747483063E2
1.217878342E1,9.747463226E2
1.311615842E1,9.747463226E2
1.405339142E1,9.747464752E2
1.499049542E1,9.747467041E2
1.592753742E1,9.747467041E2
1.686463442E1,9.747449493E2
1.780174042E1,9.747426605E2
1.873875642E1,9.747402191E2
1.967568742E1,9.747370148E2
2.061284142E1,9.747346497E2
2.155000642E1,9.747346497E2
2.248687542E1,9.747357178E2
2.342375342E1,9.747386169E2
2.436051942E1,9.747467041E2
2.529717642E1,9.747520447E2
2.623380842E1,9.747571564E2
2.717045742E1,9.747627258E2
2.810706242E1,9.747665405E2
2.904370642E1,9.747669983E2
2.998029542E1,9.747685242E2
3.091674142E1,9.747707367E2
3.185317042E1,9.747723389E2
3.278960242E1,9.747732544E2
3.372604442E1,9.747732544E2
3.466227342E1,9.747717285E2
3.559851242E1,9.747703552E2
3.653477342E1,9.747667694E2
3.747119442E1,9.747637939E2
3.840749642E1,9.747621918E2
3.934389542E1,9.747599030E2
4.028018042E1,9.747571564E2
4.121646042E1,9.747563171E2
4.215286442E1,9.747563171E2
4.308915942E1,9.747563171E2
4.402537742E1,9.747558594E2
4.496157542E1,9.747546387E2
4.589758742E1,9.747531891E2
4.683359742E1,9.747507477E2
4.776958942E1,9.747492981E2
4.870550842E1,9.747490692E2
4.964161842E1,9.747490692E2
5.057769542E1,9.747495270E2
5.151379942E1,9.747502899E2
5.244981242E1,9.747502899E2
5.338572242E1,9.747499084E2
5.432171242E1,9.747496796E2
5.525781542E1,9.747489929E2
5.619382042E1,9.747482300E2
5.712975542E1,9.747464752E2
5.806591442E1,9.747464752E2
5.900212842E1,9.747465515E2
5.993847942E1,9.747467804E2
6.087473442E1,9.747472382E2
6.181117842E1,9.747501373E2
6.274753242E1,9.747520447E2
6.368385842E1,9.747532654E2
6.462018442E1,9.747553253E2
6.555635142E1,9.747585297E2
6.649267042E1,9.747605133E2
6.742893842E1,9.747627258E2
6.836516342E1,9.747660828E2
6.930154542E1,9.747666931E2
7.023774342E1,9.747666931E2
7.117399642E1,9.747655487E2
7.211005542E1,9.747630310E2
7.304611442E1,9.747585297E2
7.398212442E1,9.747528839E2
7.491818142E1,9.747489929E2
7.585429242E1,9.747450256E2
7.679030242E1,9.747412872E2
7.772633142E1,9.747394562E2
7.866251942E1,9.747390747E2
7.959853442E1,9.747380066E2
8.053454242E1,9.747371674E2
8.147044542E1,9.747370911E2
8.240644142E1,9.747357178E2
8.334240442E1,9.747351074E2
8.427848042E1,9.747346497E2
8.521456642E1,9.747338867E2
8.615080542E1,9.747338867E2
8.708689442E1,9.747365570E2
8.802301742E1,9.747398376E2
8.895918342E1,9.747419739E2
8.989524642E1,9.747456360E2
9.083163542E1,9.747491455E2
9.176806942E1,9.747497559E2
9.270446642E1,9.747499847E2
9.364089142E1,9.747512817E2
9.457740242E1,9.747521210E2
9.551388642E1,9.747541809E2
9.645035742E1,9.747570801E2
9.738684042E1,9.747602081E2
9.832346942E1,9.747620392E2
9.925977042E1,9.747638702E2
1.001964084E2,9.747638702E2
1.011329334E2,9.747638702E2
1.020692704E2,9.747639465E2
1.030056894E2,9.747639465E2
1.039421794E2,9.747631836E2
1.048785054E2,9.747602844E2
1.058149774E2,9.747583008E2
1.067514644E2,9.747531128E2
1.076878334E2,9.747454834E2
1.086242544E2,9.747398376E2
1.095604534E2,9.747346497E2
1.104968604E2,9.747273254E2
1.114334324E2,9.747202301E2
1.123701374E2,9.747123718E2
1.133068514E2,9.747050476E2
1.142434924E2,9.746965027E2
1.151802324E2,9.746870422E2
1.161168674E2,9.746772003E2
1.170536124E2,9.746670532E2
1.179902244E2,9.746548462E2
1.189269434E2,9.746423340E2
1.198635064E2,9.746327209E2
1.208000624E2,9.746216583E2
1.217367314E2,9.746105957E2
1.226731594E2,9.746022034E2
1.236097684E2,9.745943451E2
1.245461684E2,9.745839691E2
1.254826384E2,9.745736694E2
1.264190704E2,9.745648956E2
1.273554484E2,9.745549774E2
1.282918724E2,9.745426941E2
1.292283084E2,9.745314026E2
1.301648324E2,9.745205688E2
1.311014724E2,9.745092010E2
1.320379894E2,9.744972992E2
1.329745354E2,9.744874573E2
1.339110684E2,9.744770813E2
1.348475754E2,9.744652557E2
1.357841854E2,9.744544220E2
1.367208754E2,9.744416809E2
1.376574624E2,9.744301605E2
1.385938764E2,9.744176483E2
1.395301734E2,9.744047546E2
1.404664614E2,9.743910217E2
1.414026724E2,9.743772888E2
1.423388424E2,9.743632507E2
1.432750344E2,9.743476105E2
1.442111734E2,9.743325806E2
1.451473554E2,9.743185425E2
1.460834224E2,9.743058777E2
1.470193134E2,9.742909241E2
1.479552464E2,9.742790222E2
1.488911234E2,9.742652893E2
1.498270054E2,9.742527008E2
1.507629194E2,9.742410278E2
1.516987954E2,9.742273712E2
1.526348144E2,9.742164612E2
1.535706104E2,9.742063904E2
1.545063274E2,9.741938782E2
1.554422414E2,9.741835785E2
1.563780104E2,9.741713715E2
1.573136834E2,9.741609955E2
1.582492214E2,9.741508484E2
1.591850624E2,9.741403198E2
1.601207704E2,9.741295624E2
1.610565884E2,9.741175842E2
1.619921464E2,9.741029358E2
1.629275994E2,9.740895081E2
1.638629964E2,9.740726471E2
1.647984274E2,9.740563965E2
1.657338354E2,9.740393829E2
1.666691634E2,9.740212250E2
1.676046014E2,9.740022278E2
1.685399554E2,9.739857483E2
1.694752634E2,9.739663696E2
1.704103904E2,9.739473724E2
1.713453794E2,9.739315033E2
1.722805104E2,9.739147949E2
1.732155294E2,9.738999939E2
1.741505454E2,9.738852692E2
1.750854994E2,9.738700104E2
1.760203864E2,9.738537598E2
1.769552734E2,9.738375092E2
1.778901934E2,9.738211060E2
1.788250694E2,9.738069153E2
1.797599284E2,9.737902069E2
1.806946254E2,9.737768555E2
1.816294024E2,9.737642670E2
1.825642774E2,9.737508392E2
1.834989804E2,9.737352753E2
1.844337724E2,9.737233734E2
1.853686574E2,9.737098694E2
1.863035904E2,9.736956024E2
1.872384244E2,9.736815643E2
1.881731374E2,9.736671448E2
1.891080114E2,9.736544037E2
1.900427584E2,9.736406708E2
1.909774904E2,9.736266327E2
1.919122624E2,9.736127472E2
1.928470234E2,9.735980225E2
1.937817174E2,9.735835266E2
1.947164974E2,9.735668945E2
1.956513694E2,9.735526276E2
1.965860404E2,9.735370636E2
1.975206714E2,9.735225677E2
1.984553684E2,9.735078430E2
1.993901484E2,9.734927368E2
2.003249804E2,9.734772491E2
2.012596654E2,9.734606171E2
2.021941704E2,9.734466553E2
2.031287994E2,9.734323120E2
2.040634274E2,9.734178162E2
2.049980084E2,9.734050751E2
2.059326034E2,9.733931732E2
2.068674554E2,9.733833313E2
2.078022624E2,9.733750153E2
2.087368874E2,9.733696747E2
2.096717654E2,9.733658600E2
2.106066744E2,9.733601379E2
2.115414164E2,9.733547211E2
2.124762514E2,9.733482361E2
2.134111844E2,9.733401489E2
2.143460224E2,9.733325195E2
2.152809714E2,9.733251190E2
2.162159794E2,9.733182526E2
